"","leftEar_x","leftEar_y","leftEar_p","leftShoulder_x","leftShoulder_y","leftShoulder_p","neck_x","neck_y","neck_p","nose_x","nose_y","nose_p","rightEar_x","rightEar_y","rightEar_p","rightShoulder_x","rightShoulder_y","rightShoulder_p","spineLower_x","spineLower_y","spineLower_p","spineMid_x","spineMid_y","spineMid_p","spineUpper_x","spineUpper_y","spineUpper_p","tailBase_x","tailBase_y","tailBase_p","Movement_leftEar","Movement_leftShoulder","Movement_neck","Movement_nose","Movement_rightEar","Movement_rightShoulder","Movement_spineLower","Movement_spineMid","Movement_spineUpper","Movement_tailBase","All_bp_movements_Animal_1_sum","All_bp_movements_Animal_1_mean","All_bp_movements_Animal_1_min","All_bp_movements_Animal_1_max","Mean_All_bp_movements_Animal_1_mean_2","Sum_All_bp_movements_Animal_1_mean_2","Mean_All_bp_movements_Animal_1_mean_5","Sum_All_bp_movements_Animal_1_mean_5","Mean_All_bp_movements_Animal_1_mean_6","Sum_All_bp_movements_Animal_1_mean_6","Mean_All_bp_movements_Animal_1_mean_7.5","Sum_All_bp_movements_Animal_1_mean_7.5","Mean_All_bp_movements_Animal_1_mean_15","Sum_All_bp_movements_Animal_1_mean_15","Sum_probabilities","Mean_probabilities","Low_prob_detections_0.1","Low_prob_detections_0.5","Low_prob_detections_0.75"
"0",486.88495,646.1656,0.80664647,517.7323,604.5792,0.7823036,483.80682,588.6358,0.71564746,504.686,577.32654,0.79286563,509.37335,549.37427,0.72646976,540.966,567.2516,0.525833,472.4333,564.615,0.55491555,460.28076,473.08435,0.5956095,399.27823,483.94376,0.7744968,1068.3906,85.86013,0.6701298,26.96885,26.532219,25.398188,25.560688,24.972725,26.128286,24.539837,22.001698,20.913172,35.727837,258.7435,25.87435,20.913172,35.727837,25.87434959411621,25.87434959411621,25.87434959411621,25.87434959411621,25.87434959411621,25.87434959411621,25.87434959411621,25.87434959411621,25.87434959411621,25.87434959411621,6.9449177,0.69449174,0,0,6
"1",485.19507,644.5469,0.9450958,520.3362,595.0726,0.7593426,481.61188,585.3142,0.8301389,502.84842,577.2284,0.83620554,502.2144,545.252,0.7320373,532.53796,544.53076,0.59239465,468.8492,565.56036,0.56918615,469.18472,498.09717,0.7488714,413.36136,480.428,0.67278796,363.11215,792.56226,0.41865826,0.07800234,0.32856023,0.13271011,0.06134015,0.27536595,0.80778694,0.12355534,0.885012,0.4838446,33.28072,36.456898,3.6456897,0.06134015,33.28072,14.760019659996033,29.520039319992065,14.760019659996033,29.520039319992065,14.760019659996033,29.520039319992065,14.760019659996033,29.520039319992065,14.760019659996033,29.520039319992065,7.104719,0.7104719,0,1,6
"2",479.06842,636.17615,0.9337809,520.27185,591.1218,0.8501482,480.31662,579.40564,0.87942064,503.86267,572.7033,0.91206354,501.95346,542.091,0.6337688,531.3923,542.8633,0.6705793,468.77982,559.63074,0.5801092,475.5422,492.96725,0.79485977,435.85913,468.56116,0.80533874,362.3723,792.1755,0.46118462,0.34577593,0.13170895,0.20162915,0.15457866,0.105725385,0.06743802,0.19766775,0.27230212,0.84785473,0.02782801,2.3525088,0.23525088,0.02782801,0.84785473,1.9404703006148338,3.8809406012296677,9.918430065115293,29.75529019534588,9.918430065115293,29.75529019534588,9.918430065115293,29.75529019534588,9.918430065115293,29.75529019534588,7.5212536,0.7521254,0,1,4
"3",468.95654,627.18823,0.91731447,518.4584,585.74664,0.78095424,481.08597,574.29254,0.85540795,501.75867,567.23004,0.92617965,505.3372,541.7458,0.809025,535.38745,548.1131,0.69171435,470.04227,547.95386,0.57615846,483.341,488.06168,0.84669966,425.94046,465.56345,0.7554642,362.12753,792.3919,0.54344016,0.45096526,0.18909518,0.17235515,0.1954581,0.1133764,0.2199041,0.39149755,0.3071119,0.34539238,0.010891394,2.3960476,0.23960476,0.010891394,0.45096526,0.23742781579494476,0.4748556315898895,7.498723737895489,29.994894951581955,7.498723737895489,29.994894951581955,7.498723737895489,29.994894951581955,7.498723737895489,29.994894951581955,7.7023582,0.77023584,0,0,3
"4",453.8274,619.70044,0.931938,504.94644,596.7325,0.6427269,481.50537,566.8724,0.7804152,502.98264,564.37524,0.85427165,508.1139,536.98895,0.6931361,537.41864,549.5689,0.66916734,473.0195,544.7427,0.466736,496.3843,486.8488,0.66520494,431.77957,462.4238,0.9738024,362.8978,791.8375,0.6377108,0.56269014,0.5804797,0.24773364,0.10353725,0.18359849,0.08330075,0.14596654,0.43665254,0.22098923,0.03163412,2.5965822,0.25965822,0.03163412,0.5804797,0.24963148683309555,0.4992629736661911,6.050910633802414,30.25455316901207,6.050910633802414,30.25455316901207,6.050910633802414,30.25455316901207,6.050910633802414,30.25455316901207,7.3151093,0.73151094,0,1,6
"5",442.6588,615.7618,0.89017797,507.7963,585.2142,0.945385,478.00806,566.8572,0.77287376,496.924,564.5742,0.8336531,507.42172,542.4224,0.75141156,536.6962,549.6669,0.61523086,472.15878,539.8797,0.549645,502.38058,481.23276,0.7582108,438.5388,456.31097,0.9494444,363.3101,791.6984,0.56815344,0.3947576,0.39552096,0.11657825,0.20206304,0.18257938,0.024300793,0.16461866,0.27385134,0.30377918,0.014504163,2.0725534,0.20725533,0.014504163,0.39552096,0.2334567755460739,0.4669135510921478,0.9174917817115784,4.587458908557892,5.076968083779017,30.461808502674103,5.076968083779017,30.461808502674103,5.076968083779017,30.461808502674103,7.6341853,0.76341856,0,0,3
"6",432.96173,607.7277,0.9523179,501.58167,590.4725,0.94759023,475.1816,565.89624,0.66437745,493.03967,566.75336,0.8285283,507.30124,543.2672,0.7736808,537.82635,547.4567,0.63426,466.38284,541.5552,0.5986666,509.0133,484.54517,0.708782,443.3337,451.5457,0.9860142,363.2909,791.34015,0.52657765,0.41976118,0.27135742,0.099511035,0.14846148,0.028444532,0.08274408,0.20046806,0.24712802,0.22533743,0.011959674,1.7351729,0.17351729,0.011959674,0.41976118,0.1903863102197647,0.3807726204395294,0.22305729389190673,1.1152864694595337,0.7934960325558981,4.760976195335388,4.3764751127788,30.6353257894516,4.3764751127788,30.6353257894516,7.6207952,0.76207954,0,0,5
"7",423.95016,601.2503,1,492.84982,595.04144,0.9571673,469.1398,567.20197,0.86244154,486.51395,571.52924,0.8936238,504.70288,547.09314,0.8205824,527.9429,561.7473,0.46683782,464.154,540.14716,0.6551955,513.0771,484.55246,0.72708064,446.03012,448.1783,0.9287003,363.2762,791.4425,0.53340083,0.3699328,0.3284992,0.20604306,0.26955545,0.15416148,0.57917964,0.08787806,0.13545962,0.143797,0.003446772,2.2779531,0.22779532,0.003446772,0.57917964,0.20065630227327347,0.40131260454654694,0.22156618237495423,1.1078309118747711,0.22384696453809738,1.3430817872285843,0.7126816447292056,4.988771513104439,3.857890138402581,30.86312110722065,7.845031,0.7845031,0,1,4
"8",419.42212,595.99854,1,485.26236,598.29254,1,464.49014,570.4296,0.8817136,481.3365,575.81915,0.8749381,498.5376,549.97156,0.74534285,532.6485,561.01953,0.54545707,461.12787,542.255,0.6811746,514.20123,484.92142,0.73206586,451.5302,444.84903,0.8878697,363.82263,791.15295,0.5472218,0.23114277,0.275155,0.18867113,0.22412664,0.22680388,0.15871917,0.12292929,0.039438177,0.21430804,0.020613141,1.7019073,0.17019072,0.020613141,0.275155,0.198993019759655,0.39798603951931,0.20768337547779084,1.0384168773889542,0.21300360560417175,1.2780216336250305,0.21618178699697768,1.5132725089788437,3.4481457587745457,31.03331182897091,7.8957834,0.7895783,0,0,5
"9",413.18204,593.51715,0.9741152,475.6366,597.8753,0.9919115,456.64117,566.9048,0.8516314,472.98114,575.60406,0.9006325,493.3802,555.3962,0.7979172,531.8204,562.824,0.5791455,459.88293,541.41705,0.7057723,516.91986,484.85226,0.74944574,454.77118,444.651,0.87907636,1070.3779,87.97072,0.5253183,0.22384492,0.32116005,0.28680387,0.27860385,0.24950036,0.066179946,0.05002248,0.09065024,0.108233705,33.22793,34.902927,3.4902928,0.05002248,33.22793,1.8302417546510696,3.6604835093021393,0.8538102895021439,4.269051447510719,0.7547849441568056,4.528709664940834,0.6811877744538444,4.76831442117691,3.4523604616522787,34.52360461652279,7.954966,0.7954966,0,0,4
"10",402.83188,596.6229,1,472.2639,599.84314,1,452.8502,567.11224,0.8730099,467.8143,578.56995,0.91776884,491.25323,557.468,0.8138213,507.86932,584.47614,0.5762124,457.19995,542.77167,0.7219785,516.9722,486.9905,0.8181942,457.13873,442.26462,0.9036958,363.7496,791.6197,0.580262,0.3602031,0.13016039,0.12655525,0.19858578,0.09897499,1.0762428,0.10018527,0.07129619,0.11205224,33.240627,35.514885,3.5514884,0.07129619,33.240627,3.5208905935287476,7.041781187057495,1.5226569026708603,7.6132845133543015,1.3034233078360558,7.8205398470163345,1.1543140092066355,8.08019806444645,3.4613720923662186,38.075093016028404,8.204944,0.82049435,0,0,3
"11",396.87167,601.1628,1,464.7171,600.9881,0.9884014,447.8472,567.4088,0.7723223,461.25607,579.8595,0.91267836,489.63614,563.1875,0.7790781,515.096,579.37476,0.5345367,452.07663,544.0512,0.74393857,517.36664,494.66132,0.66486895,457.67062,443.1677,0.7443207,363.42606,792.2634,0.6392995,0.24974284,0.2544381,0.16705911,0.2227936,0.19812307,0.29486164,0.17602287,0.25603133,0.034935724,0.024015764,1.878024,0.1878024,0.024015764,0.29486164,1.8696454018354416,3.739290803670883,1.5255139261484145,7.627569630742073,1.3001811529199283,7.801086917519569,1.1440488930259431,8.008342251181602,3.1885746183494725,38.26289542019367,7.779444,0.77794445,0,0,5
"12",389.8328,607.5209,1,458.69858,602.8882,0.9601773,440.0676,569.76013,0.70088404,456.0623,583.311,0.86179006,482.72488,567.42444,0.7486675,493.92908,592.9731,0.60129446,447.163,546.7035,0.6538738,516.42114,499.17422,0.74786395,459.94434,442.3328,0.82129806,363.8614,791.2431,0.53251296,0.3161771,0.21037786,0.27090567,0.20786779,0.27022028,0.83861893,0.18612546,0.15369634,0.08073843,0.03697713,2.571705,0.2571705,0.03697713,0.83861893,0.2224864512681961,0.4449729025363922,1.5313889622688293,7.656944811344147,1.3141233548521996,7.884740129113197,1.1511796308415276,8.058257415890694,2.9630819937357535,38.5200659185648,7.628362,0.7628362,0,0,6
