scorer,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.1,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.2,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.3,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.4,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.5,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.6,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.7,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.8,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.9,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.10,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.11,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.12,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.13,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.14,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.15,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.16,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.17,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.18,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.19,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.20,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.21,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.22,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.23,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.24,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.25,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.26,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.27,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.28,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.29
bodyparts,nose,nose,nose,leftEar,leftEar,leftEar,rightEar,rightEar,rightEar,neck,neck,neck,spineUpper,spineUpper,spineUpper,leftShoulder,leftShoulder,leftShoulder,rightShoulder,rightShoulder,rightShoulder,spineMid,spineMid,spineMid,spineLower,spineLower,spineLower,tailBase,tailBase,tailBase
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,486.88495,646.1656,0.80664647,517.7323,604.5792,0.7823036,483.80682,588.6358,0.71564746,504.686,577.32654,0.79286563,509.37335,549.37427,0.72646976,540.966,567.2516,0.525833,472.4333,564.615,0.55491555,460.28076,473.08435,0.5956095,399.27823,483.94376,0.7744968,1068.3906,85.86013,0.6701298
1,485.19507,644.5469,0.9450958,520.3362,595.0726,0.7593426,481.61188,585.3142,0.8301389,502.84842,577.2284,0.83620554,502.2144,545.252,0.7320373,532.53796,544.53076,0.59239465,468.8492,565.56036,0.56918615,469.18472,498.09717,0.7488714,413.36136,480.428,0.67278796,363.11215,792.56226,0.41865826
2,479.06842,636.17615,0.9337809,520.27185,591.1218,0.8501482,480.31662,579.40564,0.87942064,503.86267,572.7033,0.91206354,501.95346,542.091,0.6337688,531.3923,542.8633,0.6705793,468.77982,559.63074,0.5801092,475.5422,492.96725,0.79485977,435.85913,468.56116,0.80533874,362.3723,792.1755,0.46118462
3,468.95654,627.18823,0.91731447,518.4584,585.74664,0.78095424,481.08597,574.29254,0.85540795,501.75867,567.23004,0.92617965,505.3372,541.7458,0.809025,535.38745,548.1131,0.69171435,470.04227,547.95386,0.57615846,483.341,488.06168,0.84669966,425.94046,465.56345,0.7554642,362.12753,792.3919,0.54344016
4,453.8274,619.70044,0.931938,504.94644,596.7325,0.6427269,481.50537,566.8724,0.7804152,502.98264,564.37524,0.85427165,508.1139,536.98895,0.6931361,537.41864,549.5689,0.66916734,473.0195,544.7427,0.466736,496.3843,486.8488,0.66520494,431.77957,462.4238,0.9738024,362.8978,791.8375,0.6377108
5,442.6588,615.7618,0.89017797,507.7963,585.2142,0.945385,478.00806,566.8572,0.77287376,496.924,564.5742,0.8336531,507.42172,542.4224,0.75141156,536.6962,549.6669,0.61523086,472.15878,539.8797,0.549645,502.38058,481.23276,0.7582108,438.5388,456.31097,0.9494444,363.3101,791.6984,0.56815344
6,432.96173,607.7277,0.9523179,501.58167,590.4725,0.94759023,475.1816,565.89624,0.66437745,493.03967,566.75336,0.8285283,507.30124,543.2672,0.7736808,537.82635,547.4567,0.63426,466.38284,541.5552,0.5986666,509.0133,484.54517,0.708782,443.3337,451.5457,0.9860142,363.2909,791.34015,0.52657765
7,423.95016,601.2503,1.0,492.84982,595.04144,0.9571673,469.1398,567.20197,0.86244154,486.51395,571.52924,0.8936238,504.70288,547.09314,0.8205824,527.9429,561.7473,0.46683782,464.154,540.14716,0.6551955,513.0771,484.55246,0.72708064,446.03012,448.1783,0.9287003,363.2762,791.4425,0.53340083
