scorer,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.1,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.2,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.3,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.4,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.5,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.6,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.7,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.8,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.9,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.10,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.11,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.12,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.13,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.14,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.15,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.16,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.17,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.18,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.19,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.20,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.21,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.22,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.23,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.24,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.25,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.26,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.27,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.28,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.29
bodyparts,nose,nose,nose,leftEar,leftEar,leftEar,rightEar,rightEar,rightEar,neck,neck,neck,spineUpper,spineUpper,spineUpper,leftShoulder,leftShoulder,leftShoulder,rightShoulder,rightShoulder,rightShoulder,spineMid,spineMid,spineMid,spineLower,spineLower,spineLower,tailBase,tailBase,tailBase
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,261.6455,531.52,0.96777344,291.81494,550.66406,0.98291016,296.28516,528.4824,0.93603516,298.6963,540.5615,0.9667969,318.10352,543.46484,0.98876953,312.64062,567.0117,1.0,324.21106,520.56836,0.8408203,383.9336,562.8877,0.9277344,456.95117,562.1621,0.86083984,579.6992,627.3789,0.21777344
1,252.43945,519.4531,0.93896484,279.77148,542.99414,1.0,288.08203,520.37695,1.0,289.2578,533.8154,0.93652344,308.5127,541.20215,0.97753906,298.62305,559.8711,0.92285156,320.9004,516.4231,0.9057617,370.4248,565.3242,1.0,445.2539,556.4861,0.91796875,574.375,620.1132,0.7841797
2,246.61719,510.1328,0.89941406,269.9707,535.47656,0.93359375,281.8086,514.4463,1.0,282.3047,528.08203,1.0,297.51953,537.166,0.98291016,285.51172,553.5508,0.9584961,310.65234,515.0161,1.0,358.00195,564.9043,1.0,433.71875,554.12695,0.89208984,562.7383,611.07666,0.9033203
3,243.79492,496.88867,0.8334961,261.75,528.81055,1.0,276.23706,508.19397,0.90185547,274.21973,522.2471,0.9995117,288.8672,533.73047,0.99072266,276.59668,549.29297,1.0,304.39062,510.52734,0.89746094,346.9336,561.5449,0.9404297,419.8963,554.0801,0.94091797,553.4863,608.27344,0.9511719
4,240.21875,486.29883,0.890625,255.4336,520.16406,0.90283203,272.2461,501.15527,0.9296875,267.16113,514.7012,0.984375,279.5547,524.9795,1.0,268.74316,544.53516,0.9033203,300.08246,504.15625,0.8730469,333.7422,554.91016,0.97314453,407.66406,552.8535,0.9243164,540.1593,603.9581,0.93066406
5,242.43262,472.2461,0.8378906,250.75781,511.5332,0.89501953,270.0254,493.01074,0.9580078,263.3125,506.43457,0.9609375,275.41992,519.91016,1.0,261.82422,535.78906,0.8979492,292.68066,496.5039,0.96777344,326.67383,549.5322,1.0,398.51562,549.30176,0.9995117,528.0801,601.33594,0.87109375
6,244.7627,458.3369,0.9111328,249.22461,500.66504,0.9135742,269.4453,484.10046,0.9819336,261.46582,497.32422,0.9003906,273.2539,511.32812,0.9658203,258.69727,527.4414,0.9355469,291.80933,489.65625,0.9638672,323.41406,543.55273,1.0,390.6172,547.86914,0.9628906,517.54297,598.3789,0.85058594
7,246.25977,445.84473,0.91796875,247.71484,488.42188,0.8803711,270.63672,474.47363,0.87402344,260.81787,486.08398,0.9736328,272.74414,503.5,1.0,256.55273,516.50146,0.87597656,292.39087,482.08203,1.0,318.39062,537.7461,0.9526367,381.6543,549.23926,0.98339844,507.9476,600.39453,0.75439453
