"","leftEar_x","leftEar_y","leftEar_p","leftShoulder_x","leftShoulder_y","leftShoulder_p","neck_x","neck_y","neck_p","nose_x","nose_y","nose_p","rightEar_x","rightEar_y","rightEar_p","rightShoulder_x","rightShoulder_y","rightShoulder_p","spineLower_x","spineLower_y","spineLower_p","spineMid_x","spineMid_y","spineMid_p","spineUpper_x","spineUpper_y","spineUpper_p","tailBase_x","tailBase_y","tailBase_p","Movement_leftEar","Movement_leftShoulder","Movement_neck","Movement_nose","Movement_rightEar","Movement_rightShoulder","Movement_spineLower","Movement_spineMid","Movement_spineUpper","Movement_tailBase","All_bp_movements_Animal_1_sum","All_bp_movements_Animal_1_mean","All_bp_movements_Animal_1_min","All_bp_movements_Animal_1_max","Mean_All_bp_movements_Animal_1_mean_2","Sum_All_bp_movements_Animal_1_mean_2","Mean_All_bp_movements_Animal_1_mean_5","Sum_All_bp_movements_Animal_1_mean_5","Mean_All_bp_movements_Animal_1_mean_6","Sum_All_bp_movements_Animal_1_mean_6","Mean_All_bp_movements_Animal_1_mean_7.5","Sum_All_bp_movements_Animal_1_mean_7.5","Mean_All_bp_movements_Animal_1_mean_15","Sum_All_bp_movements_Animal_1_mean_15","Sum_probabilities","Mean_probabilities","Low_prob_detections_0.1","Low_prob_detections_0.5","Low_prob_detections_0.75","Probability_sniffing_up","sniffing_up","Probability_sniffing_down","sniffing_down","Probability_grooming","grooming","Probability_rearing","rearing","Probability_turning","turning","Probability_moving","moving","Probability_rest","rest","Probability_running","running","Probability_top","top","Probability_other","other"
"0",261.6455,531.52,0.96777344,291.81494,550.66406,0.98291016,296.28516,528.4824,0.93603516,298.6963,540.5615,0.9667969,318.10352,543.46484,0.98876953,312.64062,567.0117,1,324.21106,520.56836,0.8408203,383.9336,562.8877,0.9277344,456.95117,562.1621,0.86083984,579.6992,627.3789,0.21777344,19.747627,20.773563,20.195671,20.58657,20.990576,21.58308,20.442446,22.711906,24.1484,28.473291,219.65314,21.965313,19.747627,28.473291,21.965313,21.965313,21.965313,21.965313,21.965313,21.965313,21.965313,21.965313,21.965313,21.965313,8.689453,0.8689453,0,1,1,0,0,0.024,0,0,0,0.2125,0,0.004,0,0.3495,0,0.0005,0,0.998,1,0.0005,0,0.002,0
"1",252.43945,519.4531,0.93896484,279.77148,542.99414,1,288.08203,520.37695,1,289.2578,533.8154,0.93652344,308.5127,541.20215,0.97753906,298.62305,559.8711,0.92285156,320.9004,516.4231,0.9057617,370.4248,565.3242,1,445.2539,556.4861,0.91796875,574.375,620.1132,0.7841797,0.505922,0.4759465,0.38440412,0.3867164,0.3284706,0.5243843,0.17683558,0.45755875,0.43338883,0.3002545,3.9738815,0.39738816,0.17683558,0.5243843,11.181351,22.362701,11.181351,22.362701,11.181351,22.362701,11.181351,22.362701,11.181351,22.362701,9.383789,0.93837893,0,0,0,0,0,0.0015,0,0,0,0.012,0,0.0085,0,0.209,0,0,0,0.998,1,0.0175,0,0.0025,0
"2",246.61719,510.1328,0.89941406,269.9707,535.47656,0.93359375,281.8086,514.4463,1,282.3047,528.08203,1,297.51953,537.166,0.98291016,285.51172,553.5508,0.9584961,310.65234,515.0161,1,358.00195,564.9043,1,433.71875,554.12695,0.89208984,562.7383,611.07666,0.9033203,0.36631346,0.4117298,0.28776687,0.30040306,0.39035597,0.4851727,0.34480602,0.41433156,0.3924642,0.49111283,3.8844562,0.38844562,0.28776687,0.49111283,0.3929169,0.7858338,7.5837154,22.751146,7.5837154,22.751146,7.5837154,22.751146,7.5837154,22.751146,9.569824,0.95698243,0,0,0,0,0,0,0,0,0,0.002,0,0.013,0,0.183,0,0,0,0.999,1,0.0025,0,0,0
"3",243.79492,496.88867,0.8334961,261.75,528.81055,1,276.23706,508.19397,0.90185547,274.21973,522.2471,0.9995117,288.8672,533.73047,0.99072266,276.59668,549.29297,1,304.39062,510.52734,0.89746094,346.9336,561.5449,0.9404297,419.8963,554.0801,0.94091797,553.4863,608.27344,0.9511719,0.4513836,0.3527916,0.27915242,0.33235416,0.3103153,0.32932064,0.25681418,0.38556448,0.46075094,0.32224333,3.480691,0.3480691,0.25681418,0.46075094,0.36825734,0.7365147,5.774804,23.099216,5.774804,23.099216,5.774804,23.099216,5.774804,23.099216,9.455566,0.94555664,0,0,0,0,0,0,0,0,0,0.008,0,0.0215,0,0.067,0,0,0,0.9965,1,0.0025,0,0.0005,0
"4",240.21875,486.29883,0.890625,255.4336,520.16406,0.90283203,272.2461,501.15527,0.9296875,267.16113,514.7012,0.984375,279.5547,524.9795,1,268.74316,544.53516,0.9033203,300.08246,504.15625,0.8730469,333.7422,554.91016,0.97314453,407.66406,552.8535,0.9243164,540.1593,603.9581,0.93066406,0.37257928,0.3569293,0.26971397,0.34442276,0.42596588,0.3060764,0.25636593,0.49219838,0.40978605,0.4669422,3.7009802,0.37009802,0.25636593,0.49219838,0.35908356,0.7181671,4.693863,23.469315,4.693863,23.469315,4.693863,23.469315,4.693863,23.469315,9.312012,0.93120116,0,0,0,0,0,0.0005,0,0,0,0.0035,0,0.0035,0,0.0775,0,0,0,1,1,0.007,0,0.002,0
"5",242.43262,472.2461,0.8378906,250.75781,511.5332,0.89501953,270.0254,493.01074,0.9580078,263.3125,506.43457,0.9609375,275.41992,519.91016,1,261.82422,535.78906,0.8979492,292.68066,496.5039,0.96777344,326.67383,549.5322,1,398.51562,549.30176,0.9995117,528.0801,601.33594,0.87109375,0.47420174,0.32720137,0.28139514,0.303953,0.21805824,0.37173164,0.35487857,0.29605526,0.32712364,0.4120188,3.3666174,0.33666176,0.21805824,0.47420174,0.3533799,0.7067598,0.36813253,1.8406627,3.9676626,23.805975,3.9676626,23.805975,3.9676626,23.805975,9.388184,0.93881834,0,0,0,0,0,0,0,0,0,0.0035,0,0.0175,0,0.1195,0,0,0,0.984,1,0.004,0,0,0
"6",244.7627,458.3369,0.9111328,249.22461,500.66504,0.9135742,269.4453,484.10046,0.9819336,261.46582,497.32422,0.9003906,273.2539,511.32812,0.9658203,258.69727,527.4414,0.9355469,291.80933,489.65625,0.9638672,323.41406,543.55273,1,390.6172,547.86914,0.9628906,517.54297,598.3789,0.85058594,0.47009993,0.36585924,0.29763803,0.30985433,0.29503837,0.2971367,0.2300957,0.22701052,0.26757702,0.36480543,3.1251152,0.3125115,0.22701052,0.47009993,0.32458663,0.64917326,0.3511572,1.755786,0.35886237,2.1531742,3.4454982,24.118486,3.4454982,24.118486,9.385742,0.9385742,0,0,0,0,0,0.001,0,0,0,0.0145,0,0.019,0,0.099,0,0,0,0.9725,1,0.01,0,0.0005,0
"7",246.25977,445.84473,0.91796875,247.71484,488.42188,0.8803711,270.63672,474.47363,0.87402344,260.81787,486.08398,0.9736328,272.74414,503.5,1,256.55273,516.50146,0.87597656,292.39087,482.08203,1,318.39062,537.7461,0.9526367,381.6543,549.23926,0.98339844,507.9476,600.39453,0.75439453,0.41938576,0.4111967,0.32334247,0.37529647,0.2614902,0.37160513,0.25321704,0.25593403,0.30223358,0.32682618,3.3005276,0.33005276,0.25321704,0.41938576,0.32128215,0.6425643,0.33947864,1.6973932,0.3476398,2.0858388,0.3547467,2.483227,3.0560675,24.44854,9.212402,0.9212402,0,0,0,0,0,0.0015,0,0,0,0.041,0,0.024,0,0.084,0,0,0,0.8525,1,0.039,0,0.007,0
"8",246.7832,432.71484,0.8720703,247.11133,474.6211,0.86376953,270.58008,461.07227,0.82177734,259.45264,472.79102,0.9326172,270.46875,491.5,0.9975586,254.45898,501.62598,0.94433594,291.10742,472.45703,0.8725586,310.63086,535.28516,0.93359375,369.49805,549.02637,0.96972656,498.958,599.8613,0.82128906,0.4380104,0.4604657,0.44671625,0.44542974,0.40712735,0.50073713,0.32367313,0.271355,0.40527046,0.30017975,3.998965,0.3998965,0.271355,0.50073713,0.36497462,0.72994924,0.3498441,1.7492206,0.34954828,2.0972896,0.35510504,2.4857352,2.7609375,24.848436,9.029297,0.90292966,0,0,0,0,0,0,0,0,0,0.0095,0,0.03,0,0.098,0,0,0,0.9765,1,0.02,0,0,0
"9",251.27051,417.89258,0.88134766,246.42383,458.88672,0.94140625,269.49805,447.01953,0.7792969,258.25488,458.51465,0.9404297,266.0254,476.65234,0.9111328,249.52734,483.91766,0.9243164,289.58398,461.9707,0.8095703,302.8164,536.98047,0.8691406,360.5,549.66406,0.93603516,487.03516,605.5996,0.7055664,0.51622075,0.5249796,0.469811,0.4775508,0.51660895,0.61274016,0.35321373,0.26654115,0.3006872,0.44106215,4.4794154,0.44794154,0.26654115,0.61274016,0.42391902,0.84783804,0.3654128,1.827064,0.36619368,2.1971622,0.36360446,2.545231,2.5296378,25.296377,8.698242,0.86982423,0,0,1,0,0,0,0,0,0,0.0355,0,0.0355,0,0.091,0,0,0,0.9855,1,0.007,0,0,0
