"","leftEar_x","leftEar_y","leftEar_p","leftShoulder_x","leftShoulder_y","leftShoulder_p","neck_x","neck_y","neck_p","nose_x","nose_y","nose_p","rightEar_x","rightEar_y","rightEar_p","rightShoulder_x","rightShoulder_y","rightShoulder_p","spineLower_x","spineLower_y","spineLower_p","spineMid_x","spineMid_y","spineMid_p","spineUpper_x","spineUpper_y","spineUpper_p","tailBase_x","tailBase_y","tailBase_p"
"0",683.88165,175.40448,0.89366704,723.676,190.76495,0.8913202,731.1198,165.1192,1,733.5588,179.36632,0.93808115,748.33264,178.50952,0.8327749,743.56635,203.22208,0.64703256,758.2098,170.92078,0.43399394,797.0457,214.53651,0.9666407,777.10474,290.8005,0.9533764,674.4901,434.7629,0.8861664
"1",683.88165,176.59001,0.9560283,723.676,190.76495,0.83134055,731.1198,165.25446,1,733.5588,179.36632,0.9970613,748.33264,178.50952,0.8740189,743.56635,203.22208,0.67511773,758.2098,170.92078,0.5087293,797.0457,214.53651,0.84957635,777.7788,290.8005,0.9760304,679.9061,435.60278,0.87738794
"2",683.88165,176.59001,0.93143505,723.676,190.76495,0.9340663,731.1198,165.25446,1,733.5588,179.36632,0.95172465,748.33264,178.50952,0.9079161,743.56635,203.22208,0.7400482,758.2098,170.92078,0.5307803,797.0457,214.53651,0.78423685,778.4029,290.8005,0.9551037,686.54663,436.1841,0.86731035
"3",679.0954,176.60449,0.94179,719.5151,190.50865,0.81211376,724.1117,165.25446,1,728.3757,178.42055,0.9793739,744.16235,176.2923,0.8360901,740.6893,202.41309,0.7569029,753.21954,166.58455,0.57729226,791.6087,213.03146,0.69632345,779.26624,289.1983,0.91138643,693.9019,436.34616,0.9083213
"4",675.1066,176.68497,0.9342887,712.7377,190.294,0.84130955,719.7733,165.25446,0.974451,722.7154,178.35738,0.9874722,738.43286,175.00482,0.9652167,736.1332,201.55307,0.8392425,749.33124,165.78986,0.585088,786.74615,209.32298,0.7935069,779.743,288.12137,0.906102,698.61993,438.18726,0.88097596
"5",671.4529,179.1909,0.9166227,709.0817,190.11038,0.9240968,712.9399,165.27946,0.96093595,718.4496,177.97227,0.9877496,733.8367,174.76328,1,732.6286,200.37297,0.8661107,745.88544,165.67343,0.63760346,781.68164,207.59079,0.86980456,780.3819,286.96158,0.94425744,704.3774,438.18726,0.89268225
"6",671.1277,179.21088,0.91215736,705.9445,189.79721,0.8977784,707.55194,166.52048,0.98177826,716.2727,177.97227,1,732.6497,174.18889,1,730.7081,199.74672,0.861627,745.1456,164.97182,0.748189,781.0383,206.94344,0.91279495,782.45905,284.36475,0.944445,708.83124,438.18726,0.93586373
"7",670.9983,179.21088,0.8774861,704.6652,189.75781,0.8820443,706.5064,166.52048,0.9665776,715.3741,177.86842,1,732.40204,174.18889,1,728.74243,199.74672,0.85016125,744.8798,164.4914,0.78163624,777.76447,206.25584,0.9049634,783.9821,283.28107,0.91208833,708.83124,437.33316,0.91824514
"8",670.9983,179.45915,0.87219894,702.9025,189.64017,0.85001713,705.6301,166.52048,0.9601057,713.52203,177.4591,0.99934316,730.94324,174.18889,0.95647013,726.3061,199.74672,0.8363338,744.83136,164.19897,0.7762195,775.8088,205.81339,0.91078836,784.5706,283.1568,0.896435,708.83124,435.19067,0.9499837
"9",670.7983,179.45284,0.8830152,701.37915,189.52438,0.85157645,704.5487,166.25546,0.9605948,711.42847,177.44841,0.9447224,730.5596,174.35275,0.97415257,724.92084,199.74672,0.8429867,744.20593,163.92873,0.7914514,773.7019,205.7909,0.9595167,784.64136,281.30142,0.88305914,706.6123,430.60724,0.93424374
"10",670.7528,179.45284,0.87051946,700.2967,189.24373,0.83752614,703.27844,165.96413,0.92775273,710.9659,177.13078,0.91132015,728.75183,174.35275,0.9648118,724.2081,199.7325,0.8314423,743.8931,163.74751,0.793133,772.7019,205.78882,0.93129385,787.2667,279.9001,0.9280348,706.6123,426.48563,0.9580005
"11",670.59814,179.46687,0.86919683,699.3005,189.64017,0.8229437,701.86633,165.96413,0.9418689,710.09454,177.13078,0.9143601,727.50397,174.35275,0.9372889,723.47546,199.32515,0.8279632,743.82513,163.14847,0.7820002,771.4515,205.59137,0.9189354,789.03296,277.08496,0.9589546,706.6123,422.51382,0.9016719
"12",670.59814,181.3757,0.9000035,698.7933,189.64017,0.81302905,701.0302,166.25546,0.9389134,709.2205,177.21703,0.93192255,727.3425,174.17215,0.91228795,722.6901,198.6437,0.82324564,743.54944,162.86278,0.7817211,771.4515,205.59137,0.90227556,789.4152,273.0693,0.92411363,708.95917,417.88336,0.93972486
"13",669.9149,186.56284,0.8721986,698.65784,189.75873,0.815182,698.93494,167.58052,0.9213596,708.1736,177.21703,0.959756,727.0187,174.17215,0.9275149,722.6901,197.74414,0.86257,743.4843,162.25348,0.7460207,771.4515,204.0964,0.9042322,791.9541,269.62686,0.9259737,712.9508,415.17563,0.94259876
"14",668.16705,190.96852,0.88165903,697.779,191.47215,0.8740773,694.2983,170.5318,0.97739464,705.4693,178.42867,1,724.6505,174.17215,0.96789145,722.6901,197.74414,0.9083852,740.17035,161.69319,0.78228545,772.44116,202.08759,0.88440907,793.28723,265.90762,0.94390017,721.06616,411.73907,0.9182605
"15",665.54297,196.50034,0.9414404,697.72406,194.2832,0.9445522,692.08295,172.56822,1,704.94604,179.5392,1,723.9335,174.20505,0.95438796,724.82513,197.74414,0.9554599,739.0729,161.53862,0.8071792,774.30273,197.96785,0.98748666,795.6589,261.6932,0.9686791,728.48517,409.05432,0.84840983
"16",665.394,206.81021,0.93205565,697.4726,196.80525,0.8776653,689.72766,175.53584,0.99078333,702.9867,182.13289,1,722.4891,175.01692,0.9957115,727.2492,198.25648,0.9722673,737.07825,161.53862,0.8578626,775.74884,193.9793,0.9422144,796.86224,258.2861,0.97675574,740.2935,406.9502,0.86013705
"17",664.5772,210.56506,0.97002363,697.2994,199.30978,0.8574451,688.5104,177.04729,0.9156721,700.8818,185.30775,0.9535156,720.5537,175.73253,0.9810864,727.6752,198.41074,1,732.2497,160.95088,0.80081105,776.24994,190.2235,0.86776817,798.11633,253.72081,0.96472573,749.56274,406.7831,0.8056008
"18",661.9312,211.45207,1,695.8907,201.70087,0.9210475,685.9078,179.48659,0.9447192,698.7281,186.85391,0.9198617,718.1633,177.75813,0.90526295,727.6752,198.43822,0.9667413,728.75616,160.69104,0.6100954,776.24994,187.78957,0.83413905,799.59094,250.4074,0.96284276,758.0582,405.8884,0.84703
"19",657.81506,211.45207,0.9754719,693.5034,201.98691,0.9203526,683.77936,180.41695,0.9089482,697.397,187.94925,0.89924634,717.65265,178.45537,0.81575215,727.6752,198.43822,0.96517473,728.5894,160.1841,0.6825845,776.24994,184.71017,0.84039253,799.99884,247.56288,0.946306,767.0785,405.5779,0.9113686
"20",654.7897,211.45207,0.9368952,690.4612,201.98691,0.9260316,681.2291,180.41695,0.88174766,694.93915,187.94925,0.9593613,714.96735,178.47205,0.8741465,726.68475,198.43822,0.9974719,726.9681,160.1841,0.71885,774.959,183.54251,0.86765844,800.2859,245.92285,0.99101657,772.5835,405.1617,0.90794045
"21",653.4617,210.83325,0.94008636,687.9863,201.98691,0.9237809,679.7472,180.41695,0.94671535,692.3475,187.94925,0.96482265,712.5568,178.47205,0.83155143,724.53406,197.22478,1,726.93524,159.92325,0.65827525,773.2088,181.8735,0.9203896,800.3025,242.9691,0.982104,775.8264,404.0545,0.8901774
"22",651.4466,207.7723,0.863388,686.888,200.90877,0.89669085,679.68726,180.00246,0.95486313,691.6746,187.27571,1,711.5368,178.47205,0.867808,723.97797,195.95682,1,725.9928,159.6339,0.6133262,772.5832,179.4426,0.90844136,800.2859,241.2368,0.9631404,777.5495,401.6634,0.92126787
"23",647.21027,204.59901,0.95845145,684.60205,199.16988,0.8228434,678.6947,177.95345,0.95193934,690.82776,185.57658,0.952412,711.38,178.15422,0.81623495,722.84454,195.12387,1,725.98126,159.6339,0.616029,769.38043,177.16096,0.8258329,800.2859,239.97894,0.94349694,780.1087,401.0356,0.91709584
"24",642.06146,201.53651,0.92394596,682.6469,198.11908,0.79900604,675.8503,175.44781,1,689.71454,182.71776,0.90490997,711.30145,175.81723,0.74728334,721.7014,193.28947,0.99227804,721.6095,159.11247,0.66050863,766.52795,174.23042,0.74483407,798.6772,238.12022,0.9868397,780.923,398.67822,0.9312989
